source,author,time,title,description,content,url
New York Times,Patrick McGeehan,2021-04-12 16:28:56,Indian Point Nuclear Plant in New York Is Shutting Down,"When the Indian Point nuclear power plant shuts, its lost output will be filled primarily by generators that burn fuels that contribute to climate change.","Tom Congdon, the chairman of Mr. Cuomos Indian Point Task Force, said those new renewable sources, including more than 2,000 megawatts of solar power, would eventually get the state on track toward i",https://www.nytimes.com/2021/04/12/nyregion/indian-point-power-plant-closing.html
Reuters,Liz Hampton,2021-04-07 19:23:00,U.S. energy E&P deals jump to $3.4 billion in first-quarter as shale consolidates: Enervus - Reuters,"U.S. oil and gas exploration and production deals rose fivefold in the first quarter over a year-ago, according to consultancy Enverus, in a foreshadowing of recent blockbuster shale mergers.","FILE PHOTO: The sun is seen behind a crude oil pump jack in the Permian Basin in Loving County, Texas, U.S., November 22, 2019. REUTERS/Angus Mordant/File Photo/File Photo (Reuters) - U.S. oil and g",https://www.reuters.com/article/us-usa-oil-m-a-idUSKBN2BU35M
Reuters,Reuters Staff,2021-04-12 20:29:00,DiamondBack Energy sees uptick in output for first quarter - Reuters,"Shale oil and gas producer DiamondBack Energy Inc on Monday forecast first-quarter output to be higher than the preceeding quarter, helped by a rebound in crude prices from pandemic-driven lows.","By Reuters Staff (Reuters) - Shale oil and gas producer DiamondBack Energy Inc on Monday forecast first-quarter output to be higher than the preceeding quarter, helped by a rebound in crude prices f",https://www.reuters.com/article/us-diamondback-outlook-idUSKBN2BZ2KZ
Reuters,"Ron Bousso,Stephen Jewkes,Dmitry Zhdannikov",2021-04-20 13:27:00,EXCLUSIVE Eni eyes oil spin-offs to tackle debt in energy transition - Reuters,"Italy's Eni (ENI.MI) is considering spinning off oil and gas operations in West Africa and the Middle East into new joint ventures to help reduce debt and fund its shift to low-carbon energy, according to company and industry sources.","Italy's Eni (ENI.MI) is considering spinning off oil and gas operations in West Africa and the Middle East into new joint ventures to help reduce debt and fund its shift to low-carbon energy, accordi",https://www.reuters.com/business/energy/exclusive-eni-eyes-oil-spin-offs-tackle-debt-energy-transition-2021-04-20/
Reuters,Reuters,2021-04-23 19:27:00,California governor seeks to end to oil drilling in state by 2045 - Reuters,California Gov. Gavin Newsom on Friday directed state agencies to end new fracking permits by 2024 and to analyze how to phase out oil and gas extraction by no later than 2045.,"Oil storage containers are seen, amid the coronavirus disease (COVID-19) pandemic, in Los Angeles, California, U.S., April 7, 2021. REUTERS/Lucy Nicholson California Gov. Gavin Newsom on Friday dire",https://www.reuters.com/business/energy/california-governor-seeks-end-oil-drilling-state-by-2045-2021-04-23/
Reuters,Reuters Staff,2021-04-15 13:11:00,Algeria's Sonatrach says it has terminated Ain Tsila contract - Reuters,"Algerian state oil company Sonatrach said on Thursday it has terminated a 2004 contract with Petroceltic PLC, which was later bought by Sunny Hill Energy, for exploration and production in the Ain Tsila gas field.","By Reuters Staff ALGIERS, April 15 (Reuters) - Algerian state oil company Sonatrach said on Thursday it has terminated a 2004 contract with Petroceltic PLC, which was later bought by Sunny Hill Ener",https://www.reuters.com/article/algeria-petroceltic-idUSL8N2M84K9
Reuters,Reuters,2021-04-29 10:52:00,PetroChina posts best quarterly profit in seven years - Reuters,"PetroChina (601857.SS) on Thursday reported its biggest quarterly profit in seven years, citing rising oil and gas prices and a recovery in Chinese fuel demand from last year's deep coronavirus slump.","PetroChina's logo is seen at its petrol station in Nantong, Jiangsu province, China March 28, 2018. REUTERS/StringerPetroChina (601857.SS) on Thursday reported its biggest quarterly profit in seven y",https://www.reuters.com/business/energy/petrochina-posts-best-quarterly-earnings-seven-years-2021-04-29/
Reuters,"Ron Bousso, Shadia Nasralla",2021-04-27 06:31:00,"BP profit soars on strong oil, gas trading as buybacks loom - Reuters.com",BP's profit soared in the first quarter to $2.6 billion thanks to stronger oil prices and bumper revenue from natural gas trading as the energy company said it intends to resume share buybacks in the third quarter.,LONDON (Reuters) -BPs profit soared in the first quarter to $2.6 billion thanks to stronger oil prices and bumper revenue from natural gas trading as the energy company said it intends to resume shar,https://www.reuters.com/article/us-bp-results-idUSKBN2CE0H6
Reuters,Scott Disavino,2021-04-30 17:17:00,U.S. drillers add oil and gas rigs for ninth month -Baker Hughes - Reuters,"U.S. energy firms added oil and natural gas rigs this week, leading to a ninth straight monthly rig count increase, as a recovery in prices lured some drillers back to the wellpad.","U.S. energy firms added oil and natural gas rigs this week, leading to a ninth straight monthly rig count increase, as a recovery in prices lured some drillers back to the wellpad. The oil and gas r",https://www.reuters.com/business/energy/us-drillers-add-oil-gas-rigs-ninth-month-baker-hughes-2021-04-30/
Reuters,Scott DiSavino,2021-04-09 18:00:00,"U.S. drillers add gas rigs, hold oil rigs steady this week: Baker Hughes - Reuters","U.S. energy firms added two natural gas rigs and kept the number of oil rigs unchanged this week, energy services firm Baker Hughes Co said on Friday, with analysts forecasting more rigs were needed to keep production steady.","(Reuters) - U.S. energy firms added two natural gas rigs and kept the number of oil rigs unchanged this week, energy services firm Baker Hughes Co said on Friday, with analysts forecasting more rigs",https://www.reuters.com/article/us-usa-rigs-baker-hughes-idUSKBN2BW2EL
Reuters,Scott DiSavino,2021-04-09 17:27:00,"U.S. drillers add gas rigs, hold oil rigs steady this week: Baker Hughes - Reuters","U.S. energy firms added two natural gas rigs and kept the number of oil rigs unchanged this week, energy services firm Baker Hughes Co said on Friday, with analysts forecasting more rigs were needed to keep production steady.","April 9 (Reuters) - U.S. energy firms added two natural gas rigs and kept the number of oil rigs unchanged this week, energy services firm Baker Hughes Co said on Friday, with analysts forecasting mo",https://www.reuters.com/article/usa-rigs-baker-hughes-idUSL1N2LY0Y6
Reuters,Reuters,2021-04-21 08:57:00,Mozambique's President Nyusi vows to work towards peace in gas-rich Cabo Delgado - Reuters,Mozambique President Filipe Nyusi said on Wednesday the government will work to restore peace in the country after a deadly militant attack last month near multi-billion-dollar gas projects backed by global oil companies.,"Mozambique's President Filipe Nyusi attends a signing ceremony following the talks with Russia's President Vladimir Putin in Moscow, Russia August 22, 2019. Sputnik/Alexey Nikolsky/Kremlin via REUTER",https://www.reuters.com/world/africa/mozambiques-president-nyusi-vows-work-towards-peace-gas-rich-cabo-delgado-2021-04-21/
Reuters,Rod Nickel,2021-04-06 15:54:00,"UPDATE 1-Canadian oil producers CNRL, Cenovus plan new emissions targets, no shift to renewables - Reuters","Canadian Natural Resources (CNRL) and Cenovus Energy, two of Canada's biggest oil producers, said on Tuesday they will set new goals to reduce greenhouse gas emissions, but not pivot away from their core businesses.","(Updates with Cenovus Energy comments; adds details of CNRL plans) April 6 (Reuters) - Canadian Natural Resources (CNRL) and Cenovus Energy, two of Canadas biggest oil producers, said on Tuesday the",https://www.reuters.com/article/global-oil-canada-idUSL1N2LZ1DU
Reuters,Ron Bousso,2021-04-01 10:14:00,Carlyle in talks to acquire Occidental's Ghana oilfields -sources - Reuters,"Boru Energy, backed by private equity giant Carlyle Group, is in discussions with Occidental Petroleum to acquire its oil and gas fields in Ghana for around $500 million, industry and banking sources said.","The logo of Occidental Petroleum is displayed on a screen on the floor at the New York Stock Exchange (NYSE) in New York, U.S., April 30, 2019. REUTERS/Brendan McDermid LONDON (Reuters) - Boru Energ",https://www.reuters.com/article/uk-occidental-m-a-carlyle-group-idUSKBN2BO51H
Reuters,Reuters Staff,2021-04-02 00:33:00,U.S. shale producer Pioneer Natural to buy DoublePoint Energy in $6.4 billion deal - Reuters Africa,"Oil and gas producer Pioneer Natural Resources said on Thursday it would acquire privately-held DoublePoint Energy in a deal valued at about $6.4 billion, as it looks to strengthen its position in the Permian Basin.","By Reuters Staff (Reuters) - Oil and gas producer Pioneer Natural Resources said on Thursday it would acquire privately-held DoublePoint Energy in a deal valued at about $6.4 billion, as it looks to",https://www.reuters.com/article/us-doublepoint-energy-m-a-pioneer-natura-idUSKBN2BP012
Reuters,Shariq Khan,2021-04-22 10:31:00,"EXCLUSIVE Texas energy fund shuts, founder says millions squandered - Reuters","The founder of a Texas oil and gas investment firm that raised about $31 million shut the business this month and acknowledged in a Reuters interview that he had squandered investors' cash on ""bad"" and ""non-arm's-length"" deals.","The sun sets behind a crude oil pump jack on a drill pad in the Permian Basin in Loving County, Texas, U.S. November 24, 2019. REUTERS/Angus MordantThe founder of a Texas oil and gas investment firm",https://www.reuters.com/business/energy/exclusive-texas-energy-fund-shuts-founder-says-millions-squandered-2021-04-22/
Reuters,Reuters,2021-04-22 04:59:00,Malaysia taps oil-backed trust fund to pay for vaccines - Reuters,"Malaysia's government on Wednesday enacted a new emergency law allowing it to use funds derived from oil and gas contributions to pay for vaccine procurement, as it looks to ramp up its COVID-19 vaccination programme.","Malaysia's government on Wednesday enacted a new emergency law allowing it to use funds derived from oil and gas contributions to pay for vaccine procurement, as it looks to ramp up its COVID-19 vacc",https://www.reuters.com/world/asia-pacific/malaysia-taps-oil-backed-trust-fund-pay-vaccines-2021-04-22/
Reuters,Reuters,2021-04-27 16:48:00,U.S. oil lease pause won't significantly hit states' income in near term -official - Reuters,"Revenues disbursed to states from federal oil and gas leasing are not expected to decline significantly in the near term due to the Biden administration's review of the program, an official said on Tuesday.","A piece of land that has a federal drilling lease issued for oil and gas development is seen in Mecosta County, Michigan, U.S., March 20, 2021. REUTERS/Emily ElconinRevenues disbursed to states from",https://www.reuters.com/business/energy/us-oil-lease-pause-wont-significantly-hit-states-income-near-term-official-2021-04-27/
Reuters,Reuters Staff,2021-04-29 09:50:00,PetroChina posts best quarterly earnings in seven years - Reuters,"PetroChina, on Thursday reported 27.7 billion yuan ($4.28 billion) first-quarter profit, its best in seven years, thanks to growing oil and gas prices and Chinese fuel demand recovery from last year's deep coronavirus slump.","By Reuters Staff FILE PHOTO: PetroChina's logo is seen at its petrol station in Nantong, Jiangsu province, China March 28, 2018. REUTERS/Stringer SINGAPORE/BEIJING (Reuters) - PetroChina, on Thursd",https://www.reuters.com/article/us-petrochina-results-idUSKBN2CG10L
Reuters,"Reuters,Ron Bousso,Shadia Nasralla",2021-04-29 06:09:00,Shell raises dividend after strong Q1 profit rise - Reuters,Royal Dutch Shell (RDSa.L) raised its dividend by 4% on Thursday after reporting stronger-than-expected first quarter profits due to asset sales and higher oil and liquefied natural gas prices.,"A Shell logo is seen at a gas station in Buenos Aires, Argentina, March 12, 2018. REUTERS/Marcos Brindicci Royal Dutch Shell (RDSa.L) raised its dividend by 4% on Thursday after reporting stronger-th",https://www.reuters.com/business/energy/shell-raises-dividend-after-strong-q1-profit-rise-2021-04-29/
Reuters,Reuters Staff,2021-04-01 16:40:00,"Sonatrach, Shell Trading to look at trading cooperation - Reuters","Algerian state energy company Sonatrach said on Thursday it had signed an initial agreement with Royal Dutch Shell's trading arm to discuss cooperation on crude, natural gas and oil product trading, Algeria's state news agency reported.","By Reuters Staff FILE PHOTO: The logo of the state energy company Sonatrach is pictured at the headquarters in Algiers, Algeria November 25, 2019. REUTERS/Ramzi Boudina/File Photo ALGIERS (Reuters)",https://www.reuters.com/article/us-sonatrach-shell-idUSKBN2BO670
Reuters,Jack Graham,2021-04-06 18:50:00,"Canada's move away from fossil fuels threatens 450,000 jobs - Reuters","T hree-quarters of Canada's oil and gas sector workers - 450,000 people - could lose their jobs by 2050, economists said on Tuesday, urging action to ensure they find other types of work.","TORONTO, April 6 (Thomson Reuters Foundation) - T hree-quarters of Canadas oil and gas sector workers - 450,000 people - could lose their jobs by 2050, economists said on Tuesday, urging action to en",https://www.reuters.com/article/canada-climate-energy-jobs-idUSL8N2LZ4EL
Reuters,Reuters Staff,2021-04-21 05:45:00,Australia's FAR says $161.6 million Remus buyout bid unlikely to proceed - Reuters,"Australian oil and gas explorer FAR Ltd said on Wednesday it was certain that Remus Horizons would not be proceed with its takeover proposal, after receiving letters from the private investment firm outlining various issues.","By Reuters Staff (Reuters) - Australian oil and gas explorer FAR Ltd said on Wednesday it was certain that Remus Horizons would not be proceed with its takeover proposal, after receiving letters fro",https://www.reuters.com/article/us-far-m-a-remus-horizons-idUSKBN2C80K5
Reuters,Reuters,2021-04-16 06:11:00,Norway's Hydro to buy LNG for Brazil plant in carbon-reduction push - Reuters,"Norwegian metals maker Norsk Hydro (NHY.OL) said on Friday it has struck a preliminary deal with New Fortress Energy (NFE.O) to buy liquefied natural gas (LNG) for its Alunorte alumina refinery in Brazil, switching the energy source from fuel oil.",Norwegian metals maker Norsk Hydro (NHY.OL) said on Friday it has struck a preliminary deal with New Fortress Energy (NFE.O) to buy liquefied natural gas (LNG) for its Alunorte alumina refinery in Br,https://www.reuters.com/business/energy/norways-hydro-buy-lng-brazil-plant-carbon-reduction-push-2021-04-16/
Reuters,Reuters,2021-04-24 08:30:00,India rescues two of three kidnapped ONGC employees - Reuters,"India has rescued two of the three employees of Oil and Natural Gas Corp Ltd (ONGC.NS) kidnapped by gunmen from a rig site on Wednesday, a defence ministry official said on Saturday.","India has rescued two of the three employees of Oil and Natural Gas Corp Ltd (ONGC.NS) kidnapped by gunmen from a rig site on Wednesday, a defence ministry official said on Saturday. The three emplo",https://www.reuters.com/world/india/india-rescues-two-three-kidnapped-ongc-employees-2021-04-24/
Reuters,Reuters,2021-04-29 06:11:00,Total back to pre-pandemic profit levels as oil prices rise - Reuters,"French energy group Total SE(TOTF.PA) on Thursday posted first-quarter earnings similar to the levels it was generating before the coronavirus pandemic hitprofits, as higher oil and gas prices boosted its trading business and it increased electricity producti","The logo of French oil giant Total is pictured at a petrol station in Bordeaux, France, November 13, 2019. REUTERS/Regis Duvignau French energy group Total SE(TOTF.PA) on Thursday posted first-quarte",https://www.reuters.com/business/energy/total-back-pre-pandemic-profit-levels-oil-prices-rise-2021-04-29/
Reuters,Jorge Otaola,2021-04-27 03:00:00,"Argentina health workers reject wage offer, keep road blockades at Vaca Muerta shale deposit - Reuters",Health workers blocking roads near Argentina's large Vaca Muerta shale oil and gas deposit on Monday rejected a government wage offer and vowed to continue a three-week protest that is threatening a national fuel shortage.,"BUENOS AIRES, April 26 (Reuters) - Health workers blocking roads near Argentinas large Vaca Muerta shale oil and gas deposit on Monday rejected a government wage offer and vowed to continue a three-w",https://www.reuters.com/article/argentina-oil-idUSL1N2MK033
Reuters,Reuters Staff,2021-04-29 04:58:00,"UPDATE 1-Equinor raises dividend, Q1 beats forecast amid renewables boost - Reuters","Norway's Equinor raised its dividend and posted a bigger-than-expected rise in first-quarter operating profits on Thursday, boosted by higher oil and gas prices as well as large one-off gains at its renewable energy business.","By Reuters Staff (Adds background, detail) OSLO, April 29 (Reuters) - Norways Equinor raised its dividend and posted a bigger-than-expected rise in first-quarter operating profits on Thursday, boos",https://www.reuters.com/article/equinor-results-idUSL8N2MM0S0
Reuters,Reuters Staff,2021-04-29 04:50:00,"Equinor raises dividend, Q1 beats forecast amid renewables boost - Reuters","Norway's Equinor raised its dividend and posted a bigger-than-expected rise in first-quarter operating profits on Thursday, boosted by higher oil and gas prices as well as large one-off gains at its renewable energy business.","By Reuters Staff OSLO, April 29 (Reuters) - Norways Equinor raised its dividend and posted a bigger-than-expected rise in first-quarter operating profits on Thursday, boosted by higher oil and gas p",https://www.reuters.com/article/equinor-results-idUSL8N2MK5WS
Reuters,Reuters Staff,2021-04-28 20:38:00,Chevron raises quarterly dividend by 5 cents - Reuters,Chevron Corp on Wednesday raised its quarterly dividend by 5 cents to $1.34 per share as prices for oil and gas tick up on the back of vaccine rollouts and increased travel demand.,"By Reuters Staff FILE PHOTO: A Chevron gas station sign is seen in Del Mar, California, in this April 25, 2013 file photo. REUTERS/Mike Blake (Reuters) - Chevron Corp on Wednesday raised its quarte",https://www.reuters.com/article/us-chevron-dividend-idUSKBN2CF2Q7
Reuters,Reuters Staff,2021-04-28 05:11:00,Aker BP Q1 swings to record operating profit - Reuters,Norwegian independent oil and gas firm Aker BP posted record revenues and operating profits for the first quarter and said it plans to make final investment decisions for its Frosk and Kobra East Gekko discoveries in the coming months.,"By Reuters Staff OSLO, April 28 (Reuters) - Norwegian independent oil and gas firm Aker BP posted record revenues and operating profits for the first quarter and said it plans to make final investme",https://www.reuters.com/article/aker-bp-results-idUSL8N2MK3ID
Reuters,Reuters,2021-04-28 11:45:00,Hess Corp swings to quarterly profit on fuel demand - Reuters,"U.S. oil producer Hess Corp (HES.N) on Wednesday swung to a profit in the first quarter, as a winter storm boosted natural gas demand and prices, while steady COVID-19 vaccine rollouts also aided fuel recovery.","U.S. oil producer Hess Corp (HES.N) on Wednesday swung to a profit in the first quarter, as a winter storm boosted natural gas demand and prices, while steady COVID-19 vaccine rollouts also aided fue",https://www.reuters.com/business/energy/hess-corp-swings-quarterly-profit-fuel-demand-2021-04-28/
Reuters,Scott Disavino,2021-04-23 17:16:00,U.S. oil rig count falls for first week since March -Baker Hughes - Reuters,U.S. energy firms cut the number of oil rigs operating for the first time since March even though higher oil prices in recent months have prompted some drillers to return to the wellpad.,"Drilling rigs operate in the Permian Basin oil and natural gas production area in Lea County, New Mexico, U.S., February 10, 2019. REUTERS/Nick OxfordU.S. energy firms cut the number of oil rigs oper",https://www.reuters.com/business/energy/us-oil-rig-count-falls-first-week-since-march-baker-hughes-2021-04-23/
Reuters,Libby George,2021-04-16 13:48:00,Exclusive-Nigeria refines energy reform bill to attract more Big Oil cash - Reuters,"Nigeria has sweetened the terms of a sweeping oil reform bill in a bid to attract much-needed investment to its oil industry, four people closely involved with the legislation said and a letter from oil companies, seen by Reuters, showed.","ABUJA (Reuters) - Nigeria has sweetened the terms of a sweeping oil reform bill in a bid to attract much-needed investment to its oil industry, four people closely involved with the legislation said",https://www.reuters.com/article/uk-nigeria-oil-idUSKBN2C31QF
Reuters,Sebastien Malo,2021-04-08 23:59:00,"Group sues DOI over oil, gas leases near Bears Ears, archeological sites - Reuters","A conservation group sued the Department of the Interior in Washington, D.C., federal court on Thursday over 32 Trump-era oil and gas leases in Utah, alleging that the DOI proceeded without properly assessing their impacts on the area's archaeology and nature","A conservation group sued the Department of the Interior in Washington, D.C., federal court on Thursday over 32 Trump-era oil and gas leases in Utah, alleging that the DOI proceeded without properly",https://www.reuters.com/article/usa-energy-idUSL1N2M13DG
Reuters,Reuters Staff,2021-04-15 08:50:00,"Woodside proxy votes show 19% in favour of winding up oil, gas operations - Reuters","A surprisingly large number of investors in Woodside Petroleum on Thursday were in favour of pushing the company to spell out plans to wind down its oil and gas operations to help limit global warming, based on proxy votes shown at its annual meeting.","By Reuters Staff FILE PHOTO: The logo for Woodside Petroleum is seen on a promotional poster on display at a briefing for investors in Sydney, Australia, May 23, 2018. REUTERS/David Gray MELBOURNE",https://www.reuters.com/article/us-woodside-agm-climate-idUSKBN2C20YS
Reuters,Libby George,2021-04-16 13:49:00,EXCLUSIVE Nigeria refines energy reform bill to attract more Big Oil cash - Reuters,"Nigeria has sweetened the terms of a sweeping oil reform bill in a bid to attract much-needed investment to its oil industry, four people closely involved with the legislation said and a letter from oil companies, seen by Reuters, showed.","A woman walks over pipelines crisscrossing Ogoniland in Rivers State, Nigeria September 18, 2020. Picture taken September 18, 2020. REUTERS/Afolabi Sotunde/File PhotoNigeria has sweetened the terms o",https://www.reuters.com/world/africa/exclusive-nigeria-refines-energy-reform-bill-attract-more-big-oil-cash-2021-04-16/
MarketBeat,Chris Markoch,2021-04-03 10:00:00,3 Oil Stocks to Buy Before the Reopening,"The price of crude oil recently went back over $60 a barrel. The pent-up demand is beginning to gain momentum. As it does investors are beginning to realize that there’s an opportunity in oil and gas stocks. With that in mind, these three stocks look to be in",This story originally appeared on MarketBeatInvestors wanted to stay far away from the oil patch in 2020. Millions of Americans sheltered in place in an effort to slow the spread of the novel coronav,https://www.marketbeat.com/originals/3-oil-stocks-to-buy-before-the-reopening/?utm_source=entrepreneurcom&amp;amp;utm_medium=entrepreneurcom
Reuters,Reuters,2021-04-26 21:06:00,"Brazil oil production falls 6% in first quarter, led by Petrobras -ANP - Reuters","Oil production in Brazil fell 6% in the first quarter from a year earlier, according to National Petroleum Agency (ANP) figures seen by Reuters on Monday, led by a drop in output from state-run oil giant Petrobras.","Oil production in Brazil fell 6% in the first quarter from a year earlier, according to National Petroleum Agency (ANP) figures seen by Reuters on Monday, led by a drop in output from state-run oil g",https://www.reuters.com/business/energy/brazil-oil-production-falls-6-first-quarter-led-by-petrobras-anp-2021-04-26/
New York Times,Alan Rappeport and Jim Tankersley,2021-04-07 22:14:42,What’s in Biden’s Tax Plan?,"The proposal includes provisions to raise the corporate tax rate to 28 percent, make it harder for companies to move profits overseas and beef up the Internal Revenue Service.","Under current law, companies with headquarters in Ireland can strip some of the profits earned by subsidiaries in the United States and send them back to the Ireland company as payment for things lik",https://www.nytimes.com/2021/04/07/business/economy/tax-plan-biden.html
Reuters,Shariq Khan,2021-04-29 19:05:00,EXCLUSIVE Chesapeake Energy considers sale of South Texas assets - sources - Reuters,"Chesapeake Energy Corp (CHK.O), which exited bankruptcy in February, is working with two banks on a potential sale of its oil-producing South Texas assets that could fetch as much as $2 billion, two sources familiar with the plan said.","Chesapeake Energy Corporation's 50 acre campus is seen in Oklahoma City, Oklahoma, on April 17, 2012. REUTERS/Steve SisneyChesapeake Energy Corp (CHK.O), which exited bankruptcy in February, is worki",https://www.reuters.com/business/energy/exclusive-chesapeake-energy-considers-sale-south-texas-assets-sources-2021-04-29/
Reuters,Reuters,2021-04-29 21:12:00,"Marathon Oil raises quarterly dividend by 33%, cuts debt - Reuters",Marathon Oil Corp (MRO.N) on Thursday became the latest U.S. oil producer to raise its quarterly dividend as COVID-19 vaccine rollouts and increased travel demand lift crude prices.,"A Marathon Oil well site is seen as oil and gas activity dips in the Eagle Ford Shale oilfield in Texas, U.S., because of the COVID-19 pandemic and the drop in demand for oil globally. May 18, 2020.",https://www.reuters.com/business/energy/marathon-oil-raises-quarterly-dividend-by-33-cuts-debt-2021-04-29/
Gizmodo.com,"Molly Taft on Earther, shared by Brian Kahn to Gizmodo",2021-04-05 17:00:00,How Big Meat Is Funding Climate Denial and Polluting the Planet,"Move over, Big Oil, and make some room for Big Meat at the climate shame table. A new study shows agribusiness is a major source climate misinformation as well as carbon emissions.Read more...","Move over, Big Oil, and make some room for Big Meat at the climate shame table. A new study shows agribusiness is a major source climate misinformation as well as carbon emissions. The analysis, pub",https://earther.gizmodo.com/how-big-meat-is-funding-climate-denial-and-polluting-th-1846620142
Reuters,Reuters Staff,2021-04-08 12:01:00,Brazil's Petrobras asks Energy Ministry about Bolsonaro's comments on natural gas prices - Reuters,"Brazil's state-run oil company Petroleo Brasileiro SA has asked the Mines and Energy Ministry to clarify comments from President Jair Bolsonaro that recent hikes in natural gas prices were ""unacceptable"" and that while he would not interfere in the company, i","By Reuters Staff SAO PAULO, April 8 (Reuters) - Brazils state-run oil company Petroleo Brasileiro SA has asked the Mines and Energy Ministry to clarify comments from President Jair Bolsonaro that re",https://www.reuters.com/article/petrobras-pricing-idUSS0N2LD02S
starjobsearch,NotProvided,2021-05-02 01:27:00,"Oil & Gas/ Metal Industry, Dudley, West Midlands",The position of Inbound/ Outbound Sales and Business Development Executive will independently generate new business and support the growth of existing customers by working closely with the sales team in based at our client's premises in Dudley. This...,"Apply for this job now Job Description The position of Inbound/ Outbound Sales and Business Development Executive will independently generate new business and support the growth of existing customers by working closely with the sales team in based at our client's premises in Dudley. This vacancy is ideally suited to a self starter with a proven track record of creating selling opportunities and delivering strong results. The roles main responsibility is to increase the sales of associated piping products to existing and new customers worldwide. Main Duties Seeks out new business opportunities and industry advancements. Back-to-back trading with existing and new client's small packages of materials from group stock or supply chain. Added value to the clients manufacturing capabilities and opportunity to increase revenue. Builds market position by locating, defining & developing consistent business, leading to sustained profitability. Negotiates contracts and closes business deals, integrating the contract requirements with business operations. Maintains up to date market intelligence; creates useful networks and absorbs information from industry publications. Manages major customers and regularly monitoring performance. Takes accountability for meeting or exceeding sales targets (G.P)Candidate requirements include: A proven track record of generating new business and enhancing profitability. A sound knowledge of piping components and the supply chain for these products including valves would be an advantage but not essential. Excellent negotiation skills; closing sales & selling to customer needs. Delivers excellent customer service; demonstrating a high level of professionalism and an ability to enhance the reputation and profile of the business. Highly motivated at all times and performs well in a team. Solution seeking; looks beyond standard approach to satisfy customer needs.If you are interested in finding out more about this fantastic opportunity, then please apply now with your most up-to-date CV and one of the Gleeson team will be in touch with you to discuss more! By applying you will be registered as a candidate with Gleeson Recruitment Limited. Our Privacy Policy is available on our website and explains how we will use your data",https://starjobsearch.co.uk/jobs/sales-executive-oil-gas-metal-industry-dudley-west-midlands/275683374-2/
